iter	RMSE
121	0.4007032099
122	0.4002700857
123	0.3998860781
124	0.3992738178
125	0.3987352677
126	0.3980967094
127	0.3974414554
128	0.3968933797
129	0.3962716015
130	0.3956661055
131	0.3953557141
132	0.3952420252
133	0.3948628543
134	0.3944695329
135	0.3941208712
136	0.3937593534
137	0.3933716901
138	0.3930614158
139	0.3924270699
140	0.3919966441
141	0.3915463087
142	0.3911464438
143	0.3908091445
144	0.3905830715
145	0.3901836598
146	0.3899231764
147	0.389732375
148	0.3893840961
149	0.3889972588
150	0.388554212
151	0.3878509615
152	0.3877242305
153	0.3873975856
154	0.3869247635
155	0.3864892442
156	0.3860187761
157	0.3855399794
158	0.3849374444
159	0.3846260067
160	0.3843758589
161	0.3839166133
162	0.3837687181
163	0.3833401828
164	0.3831077492
165	0.3827307753
166	0.3824025547
167	0.3820900515
168	0.3817934559
169	0.3816207193
170	0.3812337002
171	0.381002862
172	0.3806471981
173	0.3805417874
174	0.3800567695
175	0.3797353059
176	0.3794576286
177	0.3790715338
178	0.3787167418
179	0.3783332548
180	0.3780122083
181	0.3777460491
182	0.3775057318
183	0.3769624351
184	0.3765224556
185	0.3761118501
186	0.3759506204
187	0.3756996984
188	0.3755496002
189	0.3752949493
190	0.3748097628
191	0.374468576
192	0.374190761
193	0.3739266212
194	0.3734222007
195	0.3733135155
196	0.3730562032
197	0.3726622774
198	0.3725156155
199	0.3721302378
200	0.3719347328
201	0.3715207055
202	0.3711695341
203	0.3709570656
204	0.3704983781
205	0.3703457803
206	0.3700115022
207	0.3698257577
208	0.3696575998
209	0.3691945353
210	0.3689433621
211	0.3687176758
212	0.3685690958
213	0.3682649365
214	0.3679438227
215	0.3676548774
216	0.3675023798
217	0.367166533
218	0.3668551989
219	0.3664770845
220	0.366224968
221	0.365686512
222	0.365474301
223	0.3652192531
224	0.3648846581
225	0.3646998575
226	0.3644205209
227	0.3641692306
228	0.3638067462
229	0.3635925073
230	0.3632555975
231	0.3627725233
232	0.3625791277
233	0.3623271032
234	0.3619023035
235	0.3618678581
236	0.3616609358
237	0.361243622
238	0.3610169428
239	0.3606222295
240	0.360361612
241	0.3601224226
242	0.3596734241
243	0.3594541386
244	0.3592072605
245	0.3590496734
246	0.3587014984
247	0.3584231404
248	0.3580768729
249	0.3577572474
250	0.3574369409
251	0.357224671
252	0.3569921598
253	0.3566349051
254	0.3562813559
255	0.3560990451
256	0.3559529381
257	0.3555775809
258	0.3553036965
259	0.3550016716
260	0.3547100419
261	0.3542999839
262	0.3539118569
263	0.3536052927
264	0.3532590429
265	0.3528063084
266	0.3525941854
267	0.3523129064
268	0.3519649365
269	0.3517564239
270	0.3515793707
271	0.3511635966
272	0.3509154663
273	0.3507119809
274	0.3504368471
275	0.3502271183
276	0.3499625845
277	0.3496081099
278	0.3493880348
279	0.3489930096
280	0.3485359558
281	0.3482206851
282	0.3478887348
283	0.3476324691
284	0.3472986706
285	0.3470541696
286	0.3468284318
287	0.3466081107
288	0.3463175335
289	0.3460324854
290	0.345823089
291	0.34543957
292	0.3453037716
293	0.3450523718
294	0.3447871063
295	0.344532141
296	0.3441982998
297	0.3439520477
298	0.3437931657
299	0.3436337333
300	0.3434171279
301	0.3432216612
302	0.3429904737
303	0.3427438629
304	0.342290005
305	0.3420573559
306	0.3418691809
307	0.3416347157
308	0.3412020992
309	0.3410976029
310	0.3409276498
311	0.3405033344
312	0.3401263593
313	0.3396124481
314	0.339329946
315	0.3392262531
316	0.3387951545
317	0.3386112576
318	0.3382396062
319	0.3379812705
320	0.3377485039
321	0.337567073
322	0.3372969745
323	0.3369157682
324	0.336828596
325	0.3366416687
326	0.3364143325
327	0.3362358664
328	0.3357794396
329	0.3355185613
330	0.3352520367
331	0.3350089678
332	0.3349599753
333	0.3345617599
334	0.3344289947
335	0.3340248063
336	0.3336751195
337	0.333344942
338	0.3330704515
339	0.3329193205
340	0.3325130487
341	0.3321442273
342	0.3319312777
343	0.331800211
344	0.3314214645
345	0.3310003378
346	0.3307583616
347	0.3306148653
348	0.3304981888
349	0.3302550187
350	0.3300265051
351	0.3296522174
352	0.3294103157
353	0.3292530055
354	0.329147536
355	0.3288586987
356	0.3287183956
357	0.3285008091
358	0.3283814147
359	0.3282571304
360	0.3279284802
361	0.3277198233
362	0.3275941294
363	0.3274165418
364	0.3272079743
365	0.3271138077
366	0.3269293213
367	0.3267828351
368	0.3264255696
369	0.3263253165
370	0.3259348232
371	0.3257824189
372	0.3255298602
373	0.3253010806
374	0.3251661447
375	0.3248513549
376	0.3245860724
377	0.3243143261
378	0.3241287568
379	0.3240561501
380	0.3238573297
381	0.3236652724
382	0.3235842989
383	0.323289273
384	0.3230909122
385	0.3229775179
386	0.3226435967
387	0.3223215958
388	0.3221387665
389	0.3220227197
390	0.321895445
391	0.3215204853
392	0.3211392674
393	0.3206330769
394	0.3204469847
395	0.3202445105
396	0.3200599152
397	0.3198167631
398	0.3197146372
399	0.3195370554
400	0.3193273295
401	0.3192058075
402	0.3189463687
403	0.3186741268
404	0.318359257
405	0.3180371104
406	0.3179180423
407	0.3176692549
408	0.3173721887
409	0.3172638706
410	0.3170103826
411	0.3167549031
412	0.3163876487
413	0.3160763117
414	0.3158639257
415	0.3156261345
416	0.315259242
417	0.3151219837
418	0.3148508584
419	0.3146549721
420	0.3144569986
421	0.3142933922
422	0.3140923772
423	0.3139437435
424	0.3136842348
425	0.3134277052
426	0.3131985416
427	0.313009269
428	0.3128421699
429	0.3124853856
430	0.3121520931
431	0.3118944835
432	0.3116101635
433	0.3113535963
434	0.311020781
435	0.3108204824
436	0.3105908496
437	0.3103956649
438	0.310092151
439	0.3098330483
440	0.3096616036
441	0.309441962
442	0.309291685
443	0.309041949
444	0.3087386576
445	0.3085865683
446	0.3083857242
447	0.3081617027
448	0.3080367211
449	0.3078116773
450	0.3077661277
451	0.3075187012
452	0.3072059835
453	0.3069194997
454	0.3067295153
455	0.3064907764
456	0.3063223117
457	0.3060344882
458	0.3057616496
459	0.3055215974
460	0.3052894979
461	0.3050527168
462	0.3049893947
463	0.3049093456
464	0.3047462478
465	0.3045512219
466	0.3042405592
467	0.304062247
468	0.3039561273
469	0.3037246886
470	0.3035754213
471	0.3033226083
472	0.3030788134
473	0.3028097871
474	0.3025851301
475	0.3022792481
476	0.3019944308
477	0.3017084439
478	0.3016313176
479	0.3014088219
480	0.3011774157
481	0.3010185313
482	0.3007021964
483	0.30053435
484	0.3002728305
485	0.3000251265
486	0.2997272593
487	0.2994829099
488	0.299307242
489	0.2991708341
490	0.2989538767
491	0.2988336474
492	0.2985106225
493	0.2983929574
494	0.2982755159
495	0.297971394
496	0.2979522414
497	0.2977323403
498	0.297511685
499	0.2972928673
500	0.2970480832
501	0.2968906689
502	0.2966729142
503	0.2965319137
504	0.296387125
505	0.2962096568
506	0.2960141653
507	0.295785248
508	0.2956661154
509	0.2954843888
510	0.2952457937
511	0.2951210293
512	0.2949580142
513	0.2946333285
514	0.2944595066
515	0.2943020376
516	0.2940788119
517	0.2938841681
518	0.2937142641
519	0.2935300369
520	0.2933341001
521	0.2931792568
522	0.2931030948
523	0.293023359
524	0.2928834892
525	0.2926182581
526	0.2924063618
527	0.2922628036
528	0.2920559424
529	0.291873761
530	0.2917350485
531	0.291627845
532	0.2913489602
533	0.2913208524
534	0.2911129024
535	0.2909087724
536	0.2906923146
537	0.2904177043
538	0.290185318
539	0.2900357044
540	0.2899106389
541	0.2897072541
542	0.2896271027
543	0.2894346471
544	0.2893868463
545	0.2891133908
546	0.2888663689
547	0.2887252228
548	0.2885124456
549	0.2881837269
550	0.287925173
551	0.2876917772
552	0.2875614829
553	0.2874653831
554	0.2873022524
555	0.2871036783
556	0.2868211476
557	0.2866511031
558	0.2865673124
559	0.2863527075
560	0.2860975707
561	0.28602014
562	0.2858424516
563	0.2857201543
564	0.2855648912
565	0.2854005195
566	0.2853561723
567	0.2852636669
568	0.2851574572
569	0.2849842576
570	0.28486023
571	0.2847032935
572	0.2844716421
573	0.2843657954
574	0.2842183102
575	0.2840108001
576	0.2838499999
577	0.283595883
578	0.2833659544
579	0.2831353329
580	0.2829639578
581	0.282812481
582	0.2826211554
583	0.2825619913
584	0.2823323303
585	0.2821592128
586	0.2820987453
587	0.2819443545
588	0.2817665552
589	0.2815921705
590	0.2813526595
591	0.2812104815
592	0.2810442894
593	0.2808491651
594	0.2807842015
595	0.2805391795
596	0.2803477311
597	0.2800945858
598	0.2799597395
599	0.2797658716
600	0.2795084986
601	0.2793591222
602	0.2791977793
603	0.2789638886
604	0.2786827968
605	0.2785023338
606	0.2783428297
607	0.2781764151
608	0.2781098492
609	0.27793709
610	0.2777870233
611	0.2776547349
612	0.2774808702
613	0.2772440237
614	0.277024464
615	0.2768879878
616	0.2766881118
617	0.276607118
618	0.2765595527
619	0.2763540753
620	0.2761284096
621	0.2759171329
622	0.2757628593
623	0.2756100072
624	0.2754490653
625	0.275294452
626	0.2751042015
627	0.2749376758
628	0.2747519922
629	0.2746627318
630	0.2745283079
631	0.274276881
632	0.2740668629
633	0.2739602698
634	0.2737962437
635	0.2736053635
636	0.2734531338
637	0.2732705339
638	0.2731156953
639	0.2728702962
640	0.2727501226
641	0.2726117462
642	0.2725351379
643	0.272469826
644	0.2723032901
645	0.2721367562
646	0.2720138933
647	0.2718435025
648	0.2716680331
649	0.2715050541
650	0.271369066
651	0.2713029899
652	0.2711856571
653	0.2710261766
654	0.270838267
655	0.2706589318
656	0.2705223792
657	0.2702811231
658	0.2701905383
659	0.2700170173
660	0.2698465777
661	0.2696622141
662	0.2694933734
663	0.2692686859
664	0.2691730241
665	0.2689581883
666	0.2688894527
667	0.2687154294
668	0.2685265246
669	0.2684596619
670	0.2683372794
671	0.2681578446
672	0.2679496544
673	0.2677491421
674	0.2676741946
675	0.2676186949
676	0.2674676899
677	0.2673289437
678	0.2672045024
679	0.267002545
680	0.2668338248
681	0.266695609
682	0.2665568657
683	0.2664612122
684	0.266324272
685	0.2661983373
686	0.2661594814
687	0.2660451672
688	0.2658777871
689	0.2656991607
690	0.2655381925
691	0.2653073049
692	0.2651270387
693	0.2648338889
694	0.2647589938
695	0.264609522
696	0.2643938979
697	0.264243894
698	0.2640899773
699	0.2639508606
700	0.2638486748
701	0.2637064987
702	0.263496648
703	0.2633284733
704	0.2631587352
705	0.2629451156
706	0.2629117693
707	0.2626808119
708	0.26262971
709	0.2625190877
710	0.262362315
711	0.2621892643
712	0.2620797869
713	0.2619201548
714	0.2617863822
715	0.2616440017
716	0.2614595296
717	0.261355718
718	0.2611985967
719	0.2611293983
720	0.2609080159
721	0.2608397552
722	0.2607484754
723	0.2606338548
724	0.2605044252
725	0.2603706874
726	0.2602516974
727	0.2601307668
728	0.2599417436
729	0.2598014475
730	0.2596312369
731	0.2595047703
732	0.2592653311
733	0.258973234
734	0.2588679479
735	0.2587059839
736	0.258662962
737	0.2585509256
738	0.2584474951
739	0.2583902538
740	0.2582468856
741	0.258127753
742	0.2580407382
743	0.257909763
744	0.25783325
745	0.2576534153
746	0.2575419232
747	0.2573605517
748	0.2572367209
749	0.2570745385
750	0.2570307642
751	0.2569449118
752	0.2568421305
753	0.2567405213
754	0.2565782865
755	0.2564760184
756	0.2563260566
757	0.2561330648
758	0.2559259064
759	0.2557778806
760	0.2556701012
761	0.2555517353
762	0.2554895475
763	0.25542247
764	0.2552665178
765	0.2551724336
766	0.2550497609
767	0.2549492952
768	0.254836843
769	0.2546553937
770	0.2545539577
771	0.2544834572
772	0.254335716
773	0.2542067914
774	0.2540780951
775	0.2539819394
776	0.2539170139
777	0.2537437155
778	0.253631459
779	0.2534903229
780	0.2534025309
781	0.2532641812
782	0.2531657659
783	0.2529991389
784	0.2528474521
785	0.252584447
786	0.2524264703
787	0.2523532836
788	0.2522870117
789	0.2522580466
790	0.2521336839
791	0.251989392
792	0.251884298
793	0.2517727581
794	0.2516642084
795	0.2515295709
796	0.2514428741
797	0.2513530217
798	0.2512820848
799	0.2511298437
800	0.2510475123
801	0.2510241566
802	0.2509732381
803	0.2508689029
804	0.2507259691
805	0.2505602964
806	0.2504972579
807	0.2504074235
808	0.2502480436
809	0.250148388
810	0.2500116964
811	0.2498804742
812	0.2497391982
813	0.249533665
814	0.2494521151
815	0.249198428
816	0.2490846271
817	0.2489999418
818	0.2488296005
819	0.2486850232
820	0.2485743328
821	0.2484101265
822	0.2482882084
823	0.2482620933
824	0.2481749489
825	0.2480378877
826	0.2479483629
827	0.2477624551
828	0.247687212
829	0.2476290993
830	0.2474687875
831	0.2473457742
832	0.24726463
833	0.2471334282
834	0.2470374181
835	0.2469424991
836	0.2468708593
837	0.2467399531
838	0.246619266
839	0.246530079
840	0.2463838133
841	0.2462975153
842	0.2461255642
843	0.2460493926
844	0.2459440187
845	0.2457956226
846	0.2456671108
847	0.2455293413
848	0.2455071011
849	0.2454819763
850	0.2453763627
851	0.2453248909
852	0.2451629659
853	0.2451384344
854	0.245117355
855	0.2451036958
856	0.2449625068
857	0.2447952833
858	0.2446592463
859	0.244544059
860	0.2444176012
861	0.2442606803
862	0.2441349219
863	0.243992477
864	0.2439688259
865	0.2438394329
866	0.2437060517
867	0.2435569468
868	0.2434574863
869	0.2433057321
870	0.2431784131
871	0.2430016098
872	0.2428985299
873	0.2428785066
874	0.242753596
875	0.242644885
876	0.2423874316
877	0.242282407
878	0.2421714009
879	0.2420755296
880	0.2419377346
881	0.2418099146
882	0.2417969734
883	0.241777509
884	0.2416009105
885	0.2414946293
886	0.2413618679
887	0.2412928498
888	0.2411258079
889	0.2409842732
890	0.2409629428
891	0.2408750677
892	0.2407324563
893	0.2406030282
894	0.2404304733
895	0.2402348785
896	0.2401149827
897	0.2400780674
898	0.2399360747
899	0.2398852067
900	0.2396951934
901	0.2396159335
902	0.2395081735
903	0.2394262662
904	0.2393361973
905	0.2392018227
906	0.2391006522
907	0.2389982824
908	0.2389004324
909	0.2387791837
910	0.2386764781
911	0.2385532067
912	0.2384112687
913	0.2383144317
914	0.2382142324
915	0.238080255
916	0.2379287308
917	0.2378016225
918	0.237714233
919	0.2375742725
920	0.237427182
921	0.2372981027
922	0.237193852
923	0.2370972066
924	0.236991542
925	0.2368386109
926	0.2367171727
927	0.2365458304
928	0.2364847526
929	0.2363774526
930	0.236286605
931	0.236035798
932	0.235856717
933	0.235736984
934	0.2356267929
935	0.2354781415
936	0.2353556027
937	0.2352339092
938	0.2351317615
939	0.235024275
940	0.2348993101
941	0.2347640057
942	0.2346038619
943	0.2344543921
944	0.2343274598
945	0.234243718
946	0.2341479732
947	0.2340139538
948	0.2338928712
949	0.233770598
950	0.2336943267
951	0.2335735109
952	0.2334233341
953	0.2333359359
954	0.2332484646
955	0.233162856
956	0.2331442418
957	0.2330078827
958	0.2328501776
959	0.2327099406
960	0.2326131697
961	0.2325350011
962	0.232446362
963	0.2323901799
964	0.2322450561
965	0.2321226796
966	0.2320756035
967	0.2320587318
968	0.2320475347
969	0.2319516821
970	0.2319332695
971	0.2318065848
972	0.2316114684
973	0.23152429
974	0.2313629386
975	0.2312750084
976	0.2310883049
977	0.2310277326
978	0.2308657609
979	0.2307185999
980	0.2306149163
981	0.2304458807
982	0.2303897433
983	0.2302765491
984	0.2301511839
985	0.2300652519
986	0.2299834266
987	0.2299424557
988	0.2298649213
989	0.229814897
990	0.2296778825
991	0.2295506994
992	0.2294917117
993	0.2294275205
994	0.2293299191
995	0.2292415446
996	0.2292262824
997	0.2291070523
998	0.2290493983
999	0.2289264268
1000	0.2287790197
1001	0.2287326167
1002	0.2285738392
1003	0.2284588488
1004	0.2283734298
1005	0.2283117813
1006	0.2282489481
1007	0.2281639639
1008	0.2280936894
1009	0.2279534582
1010	0.2278600317
1011	0.2276670981
1012	0.2275770373
1013	0.2274299421
1014	0.2273070897
1015	0.2272254417
1016	0.2271082789
1017	0.2269853378
1018	0.2268699978
1019	0.2267401926
1020	0.2266633126
1021	0.2265132997
1022	0.2263936578
1023	0.2263629483
1024	0.2262592952
1025	0.2261200543
1026	0.2259904128
1027	0.2258981976
1028	0.2257718747
1029	0.2256768537
1030	0.2256395258
1031	0.2255514917
1032	0.2254457718
1033	0.2253850886
1034	0.2252766316
1035	0.2251477903
1036	0.2250134328
1037	0.2249603125
1038	0.2248516165
1039	0.2247763075
1040	0.2246768407
1041	0.2246024007
1042	0.2244538438
1043	0.2243405426
1044	0.2242601854
1045	0.2241748322
1046	0.2240811407
1047	0.2239799809
1048	0.2238996474
1049	0.2237629461
1050	0.2236726776
1051	0.2236124435
1052	0.22353769
1053	0.2234545446
1054	0.2233225522
1055	0.2232362515
1056	0.2231166229
1057	0.2229740948
1058	0.2228721777
1059	0.2228124319
1060	0.2227705122
1061	0.2226749429
1062	0.222578682
1063	0.2224803358
1064	0.2223860019
1065	0.2222684945
1066	0.2221793708
1067	0.222054868
1068	0.2219436173
1069	0.2218924055
1070	0.221777251
1071	0.2217377312
1072	0.2216509308
1073	0.2215794194
1074	0.2214876782
1075	0.2214362875
1076	0.2213801905
1077	0.2213090236
1078	0.2211631881
1079	0.2211276515
1080	0.2210478551
1081	0.2209480249
1082	0.2208608684
1083	0.2207452955
1084	0.2206635068
1085	0.2205879376
1086	0.2204686466
1087	0.2203865344
1088	0.2202494829
1089	0.2201589515
1090	0.2200610058
1091	0.2199153129
1092	0.2197975607
1093	0.2197309643
1094	0.2196189223
1095	0.2195402873
1096	0.2194483012
1097	0.2193518409
1098	0.2192756469
1099	0.2192253991
1100	0.2191138634
1101	0.2190499814
1102	0.2189685571
1103	0.2188301738
1104	0.2187654931
1105	0.2187239264
1106	0.2186598378
1107	0.2185621314
1108	0.218508111
1109	0.2184290212
1110	0.2182949513
1111	0.2181777762
1112	0.2181410193
1113	0.218058057
1114	0.2179833617
1115	0.2179265275
1116	0.2178338483
1117	0.2176674912
1118	0.2175723045
1119	0.2175075792
1120	0.2174272211
1121	0.2173628746
1122	0.217240016
1123	0.2171594595
1124	0.2171106664
1125	0.217099201
1126	0.2170250481
1127	0.2168801456
1128	0.2168532043
1129	0.2167779806
1130	0.216704021
1131	0.2165900985
1132	0.2165142876
1133	0.2163342297
1134	0.2162545449
1135	0.2161638887
1136	0.2161281222
1137	0.216035469
1138	0.2159718811
1139	0.2158615555
1140	0.2157584484
1141	0.2156989053
1142	0.2155680096
1143	0.215452684
1144	0.2153779543
1145	0.2152217139
1146	0.2151703556
1147	0.215033968
1148	0.2149570979
1149	0.2148062419
1150	0.2147400127
1151	0.214659514
1152	0.2146213159
1153	0.2145499194
1154	0.2145359585
1155	0.2144408645
1156	0.2143712955
1157	0.2142711809
1158	0.2141624763
1159	0.2140277043
1160	0.2139948114
1161	0.2139297417
1162	0.213784977
1163	0.2136812052
1164	0.2135865402
1165	0.2134698302
1166	0.2133157286
1167	0.2132630718
1168	0.2131640615
1169	0.2130386428
1170	0.2129687763
1171	0.2128713471
1172	0.2127927186
1173	0.2127310294
1174	0.2126445078
1175	0.212537798
1176	0.2124879219
1177	0.2124325196
1178	0.2122496699
1179	0.2121877869
1180	0.2120766115
1181	0.212017739
1182	0.2119401825
1183	0.2118846427
1184	0.2118183423
1185	0.2117818041
1186	0.2116812788
1187	0.2115777026
1188	0.2114853153
1189	0.2113780745
1190	0.211349279
1191	0.2112378417
1192	0.2111661874
1193	0.2110764449
1194	0.2109572217
1195	0.2108732983
1196	0.2107893317
1197	0.2107238934
1198	0.2106314587
1199	0.2105657775
1200	0.2104545449
1201	0.2103869655
1202	0.2102344696
1203	0.2101338634
1204	0.2100598055
1205	0.2100127565
1206	0.2099702485
1207	0.2098364787
1208	0.2097390892
1209	0.2096952971
1210	0.2096053802
1211	0.2095440509
1212	0.2094588093
1213	0.2093793207
1214	0.2092957191
1215	0.2092176891
1216	0.2091797535
1217	0.2091161403
1218	0.2090377122
1219	0.2089803048
1220	0.2089302885
1221	0.2088764821
1222	0.2087528618
1223	0.2086162213
1224	0.2085668946
1225	0.2084640285
1226	0.2083900615
1227	0.208310603
1228	0.2081911096
1229	0.20811607
1230	0.2079334742
1231	0.2078562657
1232	0.2077904006
1233	0.2076908639
1234	0.2076386936
1235	0.2075122425
1236	0.2074232787
1237	0.2073454684
1238	0.2072405461
1239	0.2071095663
1240	0.2070565788
1241	0.2070047672
1242	0.2069189202
1243	0.2068207799
1244	0.2067228935
1245	0.2066222309
1246	0.2065501887
1247	0.2064187608
1248	0.2063536256
1249	0.206278343
1250	0.2062407941
1251	0.2062316402
1252	0.2062025875
1253	0.2061098991
1254	0.2060593665
1255	0.2059223399
1256	0.2058466208
1257	0.2057851253
1258	0.2056903533
1259	0.2056181566
1260	0.2055524606
1261	0.2055002632
1262	0.205443011
1263	0.205405092
1264	0.2053852494
1265	0.2052738381
1266	0.2052259147
1267	0.2051657131
1268	0.2050530157
1269	0.2050145184
1270	0.2049536011
1271	0.2049175577
1272	0.20490479
1273	0.2048290388
1274	0.2047780901
1275	0.2047715897
1276	0.2047216818
1277	0.2046769584
1278	0.2045936094
1279	0.2044893536
1280	0.2044138714
1281	0.204289254
1282	0.2041894277
1283	0.2041352458
1284	0.2040883387
1285	0.2040239243
1286	0.2039421872
1287	0.20385892
1288	0.2037964566
1289	0.2036909335
1290	0.2036100958
1291	0.203532373
1292	0.2034939897
1293	0.2033660072
1294	0.2032975683
1295	0.2032270682
1296	0.2031742055
1297	0.2031048274
1298	0.2030394946
1299	0.2029315899
1300	0.2029202027
1301	0.2028289643
1302	0.2026844853
1303	0.2026347778
1304	0.202617293
1305	0.202538111
1306	0.2024719489
1307	0.20236273
1308	0.2023296839
1309	0.2022649715
1310	0.2022070477
1311	0.2021403618
1312	0.2020518525
1313	0.2019714766
1314	0.2018660384
1315	0.2018013842
1316	0.201677486
1317	0.2016223705
1318	0.2015146026
1319	0.2014531033
1320	0.2013311511
1321	0.2012697562
1322	0.2011884712
1323	0.2011778103
1324	0.20112801
1325	0.2010424632
1326	0.2010009081
1327	0.200900646
1328	0.2008535463
1329	0.200757943
1330	0.2006930958
1331	0.2005686737
1332	0.2004646453
1333	0.2004110446
1334	0.2003277017
1335	0.2002438058
1336	0.2001517147
1337	0.200055647
1338	0.200019674
1339	0.1999559476
1340	0.1998612114
1341	0.1997944183
1342	0.1996986504
1343	0.1996490144
1344	0.1995214801
1345	0.1994887023
1346	0.1994043675
1347	0.1993134667
1348	0.1992510957
1349	0.1991486491
1350	0.1990333157
1351	0.1989621519
1352	0.1989038604
1353	0.1988208289
1354	0.1987177525
1355	0.1986144512
1356	0.19847738
1357	0.1984008811
1358	0.198260064
1359	0.1981902541
1360	0.1981292218
1361	0.1980532289
1362	0.1979814494
1363	0.1978871131
1364	0.1977985211
1365	0.1977906293
1366	0.1977828374
1367	0.1976727486
1368	0.1976651175
1369	0.1975681795
1370	0.1974770344
1371	0.1973884156
1372	0.1973317467
1373	0.1972260264
1374	0.1971611025
1375	0.1970593455
1376	0.1969845101
1377	0.1968621813
1378	0.1967914493
1379	0.1966903576
1380	0.196609233
1381	0.1965339136
1382	0.1964585722
1383	0.1963671085
1384	0.1962688173
1385	0.1961849484
1386	0.1960858929
1387	0.1960105553
1388	0.1959652408
1389	0.1959030382
1390	0.1958510071
1391	0.1957522195
1392	0.1956632249
1393	0.1955825607
1394	0.1955036672
1395	0.1954268444
1396	0.1953629857
1397	0.1951927059
1398	0.1951060141
1399	0.1949859664
1400	0.1949073431
1401	0.1948429889
1402	0.1947822928
1403	0.194709001
1404	0.1946396222
1405	0.1945890036
1406	0.1945006896
1407	0.1943988206
1408	0.1942872835
1409	0.1942437058
1410	0.1941901844
1411	0.1941418481
1412	0.1940645487
1413	0.1940391845
1414	0.1939154673
1415	0.1938330395
1416	0.193762118
1417	0.1936724217
1418	0.193615439
1419	0.1935778155
1420	0.1935578563
1421	0.1934685804
1422	0.193371028
1423	0.193252955
1424	0.1931403969
1425	0.1930804681
1426	0.1930246324
1427	0.1929498109
1428	0.1928724014
1429	0.1927854565
1430	0.1927120422
1431	0.1926459942
1432	0.1925662993
1433	0.192482623
1434	0.1924274266
1435	0.1923597071
1436	0.1923175803
1437	0.1922342025
1438	0.1921730373
1439	0.1921052623
1440	0.1920349408
1441	0.1919353389
1442	0.1918786592
1443	0.1917964983
1444	0.1917652025
1445	0.1916332558
1446	0.1915562398
1447	0.1914926192
1448	0.1914117451
1449	0.1913318655
1450	0.1912464011
1451	0.1911724565
1452	0.1911044668
1453	0.1910804527
1454	0.1910170717
1455	0.1909834351
1456	0.1909290066
1457	0.1908705292
1458	0.1907657213
1459	0.1907063403
1460	0.190650486
1461	0.1906131532
1462	0.1905037141
1463	0.1904534723
1464	0.190381716
1465	0.1903217688
1466	0.1902525524
1467	0.1902006158
1468	0.1901497216
1469	0.19006382
1470	0.1900068597
1471	0.1898724992
1472	0.1897985015
1473	0.1896854543
1474	0.189610943
1475	0.1895541577
1476	0.18947094
1477	0.1893870315
1478	0.1893446019
1479	0.1892782875
1480	0.189196566
1481	0.1891282443
1482	0.1890664531
1483	0.1889811105
1484	0.1889178567
1485	0.1888371591
1486	0.1887698609
1487	0.1886946056
1488	0.1885754808
1489	0.1884567348
1490	0.1884007677
1491	0.1883160706
1492	0.1882835596
1493	0.1882380323
1494	0.1882036535
1495	0.188092552
1496	0.1880252676
1497	0.1879017284
1498	0.1878333348
1499	0.1877605782
1500	0.1877035889
1501	0.187675124
1502	0.1876329147
1503	0.1876139919
1504	0.1875399734
1505	0.1875315675
1506	0.1874388595
1507	0.1873949901
1508	0.1873323048
1509	0.187244738
1510	0.1871404528
1511	0.1871112488
1512	0.1870064802
1513	0.1869541284
1514	0.1868506932
